Dim1,Dim2,Dim3,Etiqueta
13.783205,7.228056,4.780005,papa
13.059048,6.8687954,2.8020175,papa
12.654618,5.926207,2.6215055,papa
13.228692,6.726678,3.6091943,papa
13.489069,6.6775784,2.547559,papa
12.870618,6.438901,2.479163,papa
12.719683,5.699464,2.5758362,papa
13.006153,7.21784,2.652134,papa
13.229646,6.2927003,4.9895105,papa
13.091582,5.8448224,2.7729206,papa
12.972239,6.975532,2.4347765,papa
12.647192,5.971027,2.5561714,papa
13.910252,6.8624554,5.2620873,papa
12.788215,6.0704045,2.5838413,papa
13.844154,6.8298025,5.149539,papa
13.597072,6.734218,4.655623,papa
12.801563,6.645669,3.1430113,papa
12.8435135,7.125655,2.8326561,papa
12.91938,5.4641542,2.7703393,papa
13.049207,6.005062,2.827471,papa
13.004962,5.5237,2.7282457,papa
13.438568,6.856193,5.204801,papa
12.810796,4.774714,3.8415833,papa
12.934218,8.195213,3.5174925,papa
13.368226,6.8821073,3.6897686,papa
13.679887,7.2213345,4.8914657,papa
12.881707,8.163134,3.4767797,papa
12.517806,6.38562,3.2293372,papa
12.533607,6.3334436,3.117518,papa
12.599578,6.3186483,3.0240986,papa
12.83172,6.6281996,3.042808,papa
12.58936,6.350906,2.9270854,papa
13.8483305,6.829801,4.9903235,papa
13.8354025,6.9122996,4.6781583,papa
12.272359,4.951139,7.4096103,zanahoria
11.922107,4.4241734,7.5391097,zanahoria
11.801096,4.932478,7.792687,zanahoria
11.483987,4.7092605,7.66599,zanahoria
12.194524,5.181178,7.583846,zanahoria
11.607013,4.9219627,7.7580447,zanahoria
11.669202,4.3655806,7.2651386,zanahoria
11.584181,4.832314,7.333636,zanahoria
11.620021,4.819488,7.5199003,zanahoria
11.589193,4.707941,7.730942,zanahoria
11.445213,5.020768,7.496764,zanahoria
11.453344,5.071628,7.598597,zanahoria
11.722146,4.835323,6.6615305,zanahoria
11.597171,4.734919,6.423991,zanahoria
11.876117,4.7887707,7.750799,zanahoria
12.086017,4.8632665,7.640565,zanahoria
11.765308,4.3055944,7.4604745,zanahoria
11.646177,4.214669,7.421263,zanahoria
12.6029415,5.4419026,7.2184925,zanahoria
12.740159,5.5094366,7.1731534,zanahoria
12.099781,4.700129,7.628794,zanahoria
11.875465,4.6423497,7.7505817,zanahoria
12.888748,5.4745426,6.966916,zanahoria
11.5064335,4.425771,7.40733,zanahoria
11.74124,5.7034354,6.1587057,zanahoria
11.815592,5.696561,6.2143946,zanahoria
13.4354,6.2100744,6.3670564,zanahoria
11.764516,5.9033504,6.302007,zanahoria
11.547308,5.001159,5.475414,zanahoria
11.9941635,5.6831684,6.6612043,zanahoria
11.753182,5.6806135,6.266319,zanahoria
11.834227,5.9954753,6.5437922,zanahoria
11.783525,5.9651036,6.327555,zanahoria
11.703387,4.84678,7.898219,zanahoria
12.207071,5.6347175,6.8273497,zanahoria
11.801662,4.507451,7.5478354,zanahoria
12.309718,5.739905,6.624765,zanahoria
12.494188,5.878676,6.8597345,zanahoria
